xc,yc,xrms,yrms,x1,y1,x2,y2
1437.7387169142803,1136.9353860184028,33579.30469756882,290.92073084159813,0.0,0.0,0.0,0.0
1436.9997196915879,1102.3373071688022,32725.62900991179,262.5465213632437,0.0,0.0,0.0,0.0
1642.9952076890968,1160.493829710575,35327.99979454354,294.65062198924414,-0.0009,0.0,0.0,0.0
1446.47295940748,1593.4389284473623,32946.542794373774,559.1562990727571,-0.0009,0.0,0.0,0.0
1414.5195911937556,1096.9620976087244,32655.378146099603,245.59138314807677,-0.0009,0.0,0.0,0.0
1442.0944449898743,1201.508065420559,34289.72918397012,323.786707742598,0.822,0.0,0.0,0.0
1355.5335664382046,1910.654025672059,37442.13029338945,740.2391194774152,1.7793,0.0,0.0,0.0
1367.5446700142338,1044.8900044957618,32584.30504680579,228.0148561031728,-0.0642,0.0,0.0,0.0
1421.9157037807106,1586.5131825071103,32197.31761709058,551.2689610405788,-0.0642,0.0,0.0,0.0
1531.6731917832853,1211.1168860676971,32739.69334943065,320.5495459441524,0.0,0.0,0.0,0.0
1408.7446533044604,1173.5733278794603,32394.956297189114,305.0551026631892,0.0,0.0,0.0,0.0
1388.6098202876067,1423.120799876732,31900.55015937233,493.10509884643574,0.0,0.0,0.0,0.0
1318.5232535505968,1253.9280709408772,31865.75181519542,368.75584069903005,0.0,0.0,0.0,0.0
